,m,c
A,0.00565546164544846,12.863503397868257
AAL,0.004394044137316203,6.491667012055257
AAP,0.025017572106576604,-22.75580795453466
AAPL,0.0069890365021771355,-10.668126694139266
ABBV,0.019539666737548658,-50.29795874501709
ABC,0.013409349425580072,-6.230027490036293
ABMD,0.02883092193687156,-48.6121448157166
ABT,0.006528472065428711,8.893636005454097
ACN,0.02302387672114932,-23.796665485494405
ADBE,0.02552612423832183,-27.245855385687832
ADI,0.006238458552653307,26.811986180221027
ADM,0.005016069360851575,12.186568020024717
ADP,0.013758736813918255,9.878612842093371
ADSK,0.015646979724137807,-10.567879713387384
AEE,0.001973943376606922,36.59391353100589
AEP,0.005875910409705494,24.78924885687945
AES,-0.001961521107750978,22.976912211441864
AFL,0.004247315298190163,10.830242471623297
AIG,-0.2713642289018763,1593.5433942856046
AIZ,0.012969713111727853,1.890101019175413
AJG,0.006300471052630311,14.900625415255295
AKAM,0.0057876258887133766,20.16706488447724
ALB,0.01285225552175032,-1.1393563545562009
ALGN,0.0313845017270764,-62.51598156687294
ALK,0.011045978917799293,-13.072670630608348
ALL,0.007305079500642245,25.665810129881205
ALLE,0.025958115159033898,-87.54730038198633
AMAT,0.0021228244731572635,14.837638483224223
AMCR,0.0008328195108282372,5.2668210411550165
AMD,-0.0011277369019497276,16.610123207423754
AME,0.010997473404417377,-10.028151948866093
AMGN,0.019885811091277603,22.02264057325903
AMP,0.024243165210025393,-31.01826289764797
AMT,0.021448544530937638,-14.910972103134215
AMZN,0.19388871187614487,-347.5874553263224
ANET,0.03172639600568426,-161.29549794958913
ANSS,0.023412609934516677,-27.358434651287805
ANTM,0.03086484393627498,-23.576067260483427
AON,0.018499649115431453,-3.217697868997108
AOS,0.007587658790513753,-9.452341299515172
APA,0.0029909849316619437,51.376654897664636
APD,0.020468278784079485,12.968282573505952
APH,0.006155644041879701,-6.251868564053146
APTV,0.022140647041791382,-68.05050777288949
ARE,0.011130935390615009,37.718215946493416
ATO,0.010280172875941148,4.696577220654223
ATVI,0.00772761972490869,-9.577993934240082
AVB,0.023130155991070385,27.44316202381327
AVGO,0.08363662599329595,-331.68718056296484
AVY,0.0045386551066918775,42.19215498100064
AWK,0.022630606644340384,-64.40271304334432
AXP,0.009264994603065554,24.77535844150003
AZO,0.13063104759351202,-147.55203470708682
BA,0.0342835653800935,-14.739461004176366
BAC,-0.00281313201357978,36.941197736810516
BAX,0.006770385308324831,9.73958373970234
BBWI,0.005258996400464993,8.775190014442435
BBY,0.0035843427279861947,25.2815474236882
BDX,0.02776282818505841,-3.082613032333036
BEN,0.004483142991620392,15.405647435008493
BIIB,0.04691214011278449,-30.94961495129815
BIO,0.03304800682465376,-11.055445065827085
BK,0.0007119775851838428,34.77282249493741
BKNG,0.29188600357856337,-449.0669309961397
BKR,0.0003457125500604682,46.34428336775757
BLK,0.06482667262247811,-28.290605930352193
BLL,0.006912763892215381,-5.0359476373900405
BMY,0.003503315970850807,26.68726480979099
BR,0.023007359341289103,-66.64258069144064
BRO,0.002919307854027046,3.2274864963044214
BSX,0.0011280462017237152,14.013646987449977
BWA,0.00714250710784173,0.6928219168173149
BXP,0.01456604420522751,34.938647455749376
C,-0.08000546196534605,513.6975191929725
CAG,0.0025987713118381783,13.23763117105301
CAH,0.0007230758560006158,55.117928133196045
CAT,0.015193856882624769,16.084181575947547
CB,0.017197568249503158,11.195234503367884
CBOE,0.030017268601753952,-103.75005315421514
CBRE,0.005658043021532512,0.827344508975562
CCI,0.015679472629053812,-6.051246405389292
CCL,0.0032030043285140274,29.408291454397112
CDAY,0.04320057032123551,-257.4097816879491
CDNS,0.003319674268536338,7.894881160031187
CDW,0.0409777286977564,-192.86700662350816
CE,0.017553503372290707,-26.986053549526858
CERN,0.010740993726340714,-9.634553056731994
CF,0.0082518764641947,-8.195162993080595
CFG,0.009592114968873449,-28.887123046615866
CHD,0.008672557435244425,-7.867848501600216
CHRW,0.010828776627161616,11.559620197967488
CHTR,0.11313512409398535,-432.8025225056252
CI,0.02269093751351277,-12.942726437683948
CINF,0.006513999335561452,22.58000458205296
CL,0.007791810158382571,16.667820813369868
CLX,0.015575945782877071,20.96050670059487
CMA,0.00175297262095843,43.845008780227744
CMCSA,0.004375170001465718,2.4369229034014444
CME,0.019274335411371787,3.3242793111484334
CMG,0.1258874967665074,-262.4177969676978
CMI,0.025495683954988968,-18.37214404371176
CMS,0.00511885634244091,6.111552631725062
CNC,0.008125958116179244,-15.157534766641376
CNP,0.0014224947842509676,14.11028686333179
COF,0.004504047239084124,47.48056309247828
COO,0.03383894136635778,-26.621080912775753
COP,0.0060095846492543145,24.154740355826807
COST,0.027003858225201998,-5.1967673655655675
CPB,0.003514162066224852,23.890116005479364
CPRT,0.006554005579924793,-7.827893745415167
CRL,0.01136818401109972,13.276529527372833
CRM,0.02530071610588895,-63.43796400991692
CSCO,0.001427390290716104,21.625637068183902
CSX,0.0026895064774403988,-2.279336931733577
CTAS,0.018207300615801926,0.06844351176856799
CTLT,0.013773118501161063,-52.407151466847566
CTRA,0.004432621100335555,-2.050608567957145
CTSH,0.011049929496956537,-10.133065615739717
CTVA,-0.008055150172057055,85.56845761609613
CTXS,0.011355978264894574,2.6829799576640245
CVS,0.010601484502800998,6.775054023621545
CVX,0.013059726913697887,34.42442432969003
CZR,0.02754292881440646,-149.91777915419348
D,0.008063414476020147,19.640754827068992
DAL,0.012749480031718961,-34.60300123438476
DD,0.004795212683625338,40.47228539826973
DE,0.017921434082690983,3.2090167030512013
DFS,0.016765286846269264,-40.34178904544796
DG,0.02799885256094452,-84.38669514310071
DGX,0.009835342409641236,21.73815262055791
DHI,0.0038512901238205947,7.530415143250823
DHR,0.014253541190436468,-8.639215007379093
DIS,0.01497704625988521,-0.4116442024436863
DISCA,0.00495848693632621,-0.4057779749435178
DISCK,0.0036428567141441994,5.262668703084175
DISH,0.00289749191049064,26.21664496390993
DLR,0.018499074588658456,-19.819553917096496
DLTR,0.014150184735990619,-14.216370519603656
DOV,0.008715701109610875,10.96483121827184
DOW,-0.00574075990056307,91.49982637343767
DPZ,0.04556828787867452,-122.82519119469575
DRE,-0.0006373534461737816,25.974083591153587
DRI,0.011777674806232463,1.0994179410786575
DTE,0.009584179015493107,16.744808966617335
DUK,0.005635576982728919,40.669310096126964
DVA,0.01071034646170367,-1.2933683444759034
DVN,0.0016011821675297453,44.08953685796115
DXC,0.00475229862937423,13.843289116385884
DXCM,0.023684212889280496,-67.54687431432946
EA,0.008317177638403674,17.16846254458017
EBAY,0.004057766450008252,3.037391138808921
ECL,0.020854343891562908,-7.799259060355376
ED,0.006684566251022216,29.17286235198513
EFX,0.015749161265914788,-0.6138713434039977
EIX,0.007987580712328739,13.995314703912966
EL,0.018430476700588262,-14.157709341979634
EMN,0.011214020332339852,5.4441724537347485
EMR,0.006001930974515624,24.69091514212654
ENPH,0.0015364129818263965,-2.0267780781548628
EOG,0.01493339421829153,-3.198285799089623
EQIX,0.061493793124495676,-63.059741182942346
EQR,0.007692936817332002,19.756900782678777
ES,0.007605046152801963,7.4079078970002294
ESS,0.033547602032410286,13.090577650671648
ETN,0.009557806242017205,10.455121913024856
ETR,0.00574545037175568,49.94789319229351
ETSY,0.03324921180988996,-186.5889564150558
EVRG,0.0058820382564273785,8.907608082254926
EW,0.007103666992741817,-10.918371093537093
EXC,0.0005310128459041068,39.24474471669459
EXPD,0.007358641204569521,12.030771123055956
EXPE,0.02133232171262358,-25.84932237319146
EXR,0.01858483064028729,-40.18265711123841
F,-0.0007995500343512553,15.540432671433473
FANG,0.03232998667607928,-111.92786218073317
FAST,0.003968851598749674,0.3428653265905287
FB,0.06878847818609701,-297.28449880302543
FBHS,0.012755728175354567,-27.53803937018741
FCX,0.0009117814970640805,20.058103827152237
FDX,0.022188024629349053,28.42865478403943
FE,-8.23478432706149e-05,40.97160708525363
FFIV,0.022958202056691593,-14.60194928895624
FIS,0.011152273208944633,6.023067747691279
FISV,0.009844027059233379,-9.699138066568674
FITB,-0.005446269160522095,50.82252989507141
FLT,0.07254890743477546,-275.2366461165639
FMC,0.010191033800367785,-3.733837559510011
FOX,-0.01544136284716414,145.53541422680934
FOXA,-0.015038229646053726,143.07537530800326
FRC,0.027283985308461055,-90.08635369385536
FRT,0.018429692572271342,15.237955852746882
FTNT,0.018082312763113357,-63.31089129020416
FTV,0.018062163600415296,-62.29251686238534
GD,0.022296424817092944,8.398951479771606
GE,-0.026850521359118654,308.52973353956816
GILD,0.01344647018437382,-12.468760889790529
GIS,0.006011818743390465,14.796262898824178
GL,0.010166353732236759,0.8357208871562478
GLW,-0.00015036441744032265,22.083852219381072
GM,0.003616066402961872,12.783094478331337
GNRC,0.012858059858796109,-31.805588972074595
GOOG,0.1926532232493623,-376.9661632248821
GOOGL,0.19539850803587722,-383.65247384970587
GPC,0.011672933591178594,15.699808766161897
GPN,0.01606690522966803,-22.45501022940225
GPS,0.001372404457553104,19.25678304136136
GRMN,0.0070053505632041236,13.585640158054773
GS,0.018390806737361737,81.91622844266342
GWW,0.04003219779502943,-5.290224505505294
HAL,0.004430192961494155,15.6097962690318
HAS,0.012755883554062422,-3.1456271012169186
HBAN,-0.0015137436896957913,19.270171565453406
HBI,0.0046105322979522485,-8.17006567326295
HCA,0.0357731063769804,-132.25798345321675
HD,0.02077461952047853,-3.5990313915375682
HES,0.006431890287214159,27.80691364171907
HIG,-0.003663315865701954,63.12560397844698
HII,0.07758931520607781,-309.5800140032062
HLT,0.023697908619798886,-83.26706182487827
HOLX,0.0060034029367466695,-1.113897656462718
HON,0.01683692523399941,5.169085119117674
HPE,0.0044289965354471945,-15.173175138756134
HPQ,0.0005935854820334505,13.325534058425886
HRL,0.0054212858016363125,-2.838465401723877
HSIC,0.0093733677823233,-3.6284860327338584
HST,0.001205328792537926,11.223674595860746
HSY,0.013335084211156083,16.10217764777704
HUM,0.03792386219223677,-44.00553854698012
HWM,-9.773360094107486e-05,24.198867465927044
IBM,0.01196614391233525,80.08496466086447
ICE,0.013348498665553833,-23.777768837487784
IDXX,0.02638785967917375,-38.67430970672388
IEX,0.0174935201551241,-11.622829082614182
IFF,0.017237989882183218,3.9296383850303016
ILMN,0.04129084740690442,-70.51420077829759
INCY,0.012420348747745889,-9.566695040738297
INFO,0.022069339968357964,-97.26920956323126
INTC,0.0015693507498283864,23.63448742215989
INTU,0.02479251674419592,-24.09014436679766
IP,0.0019630878517268354,28.554295967930084
IPG,-0.0004979977541441188,19.06846808474375
IPGP,0.03723721206137882,-108.058764565523
IQV,0.04439141793946301,-185.40101714197755
IR,0.005910478056846435,-11.488594137058627
IRM,0.003610883174880322,11.684339580444947
ISRG,0.020975775031256624,-32.531338643916094
IT,0.01900838483278059,-21.67178198630887
ITW,0.016555855848780252,7.180380779821001
IVZ,0.0012823745825228747,19.812769087423753
J,0.007373051365595927,15.877481316676247
JBHT,0.016164884226878503,-12.260195329018494
JCI,-0.006404622984844745,68.84124555344226
JKHY,0.015310418290935284,-9.28230176396708
JNJ,0.012277066702925039,33.46519980323459
JNPR,-0.0040186376502439405,44.51923908066611
JPM,0.00876327535383552,21.43628047007005
K,0.006055655176122512,29.12720372117762
KEY,-0.002321473770459676,27.74111772419024
KEYS,0.036058633395602994,-180.22671903555872
KHC,-0.03619779747241164,301.1887942638637
KIM,-6.542250186026115e-05,22.70164549571623
KLAC,0.008219767496582153,28.56712183568664
KMB,0.011501494165540445,37.117945658351516
KMI,-0.006504886585579588,64.42615677042464
KMX,0.010407385185821169,-5.720877115886221
KO,0.003997850099765811,17.802219888021156
KR,0.0033809246402022,4.385294864610832
KSU,0.014698226524979967,5.576899534469315
L,0.005041017290436633,16.256247007408476
LDOS,0.005134281281584942,22.01199054768636
LEG,0.004004343820988499,14.137133513139588
LEN,0.0032887486387112026,22.63887453543922
LH,0.019532326658647153,11.992416091287803
LHX,0.01876951068485269,-10.027698847563139
LIN,0.021325646905872804,8.066176629024277
LKQ,0.006475041364546852,-10.399722479930608
LLY,0.0030751267610868178,52.53361364077209
LMT,0.04026890449437829,-18.971112855838395
LNC,0.002234153506600943,37.18303806040259
LNT,0.004747443945008158,5.582828744209185
LOW,0.011224766899495198,0.5885095556340051
LRCX,0.020015829206480804,-10.701100078756971
LUMN,-0.0015815033774874893,37.65862938434791
LUV,0.0055019482173503335,3.4001020085294837
LVS,0.0017952682605023313,45.66542436784805
LW,0.038590665626302735,-199.81426437332502
LYB,0.02141305106250812,-44.820834845527024
LYV,0.008098757893483494,-15.14904271242363
MA,0.044794795187417025,-138.29174545414207
MAA,0.012330013161954258,14.392321867207208
MAR,0.014208416925605503,-3.846565258905259
MAS,0.0017972351386081073,15.978805615953375
MCD,0.022109325406792394,-3.606784086933658
MCHP,0.004076602171387364,5.531649162699719
MCK,0.023583963312695376,1.4401973647052606
MCO,0.0197228644447869,-8.417214117770401
MDLZ,0.0021317576227581044,27.238814941979893
MDT,0.005950097572249965,34.828205960810145
MET,0.0027154771441804597,28.383743052926025
MGM,0.0001823284559756711,24.509397031406778
MHK,0.02317215110439691,15.619787315298055
MKC,0.00777212643707221,-0.22401437640794655
MKTX,0.048139285403573574,-140.6466440728637
MLM,0.025061975482868114,14.803726115929436
MMC,0.005114914689700555,28.047256487850724
MMM,0.021381454156721283,28.08014686209606
MNST,0.009039381438115498,-14.380155061775616
MO,0.0010743684291942973,43.117731481827434
MOS,0.0035313207809522136,22.253695451218753
MPC,0.015135678172797257,-41.174752467474065
MPWR,0.02328207986422124,-59.92453530560466
MRK,0.001239399305791428,44.046921776495445
MRNA,-0.005970006592310338,60.47543876292392
MRO,0.0017339699108481228,13.108678460397076
MS,-0.00426371274086304,59.126118034676814
MSCI,0.03889606625916325,-127.11420087845323
MSFT,0.009063672930633456,9.146999598644587
MSI,0.004240447362700003,53.38241121058321
MTB,0.012168870518960323,58.62251926106622
MTCH,0.004978176880954349,-3.2680325956388634
MTD,0.08429413171796905,-103.8904662294969
MU,0.0006786359654789502,18.26144463284641
NCLH,0.009390728072624019,-10.487283204138672
NDAQ,0.012056730352273014,-10.787921208715353
NEE,0.005211982419264308,-0.3893402925376357
NEM,0.0005620161683038682,35.53776054127942
NFLX,0.043486305233809246,-110.74327592143588
NI,0.0026309858681481725,2.8562346864327486
NKE,0.010453278934139387,-10.05119819059028
NLOK,0.0021383219837115964,10.536691152471727
NLSN,-0.0004386544259671851,38.87964047249655
NOC,0.036475500977195666,-25.41141058483492
NOW,0.08195708496836257,-379.78014958293085
NRG,0.0010823064490617204,20.13511008378007
NSC,0.019792445456506498,-4.3547077804585195
NTAP,0.0027448903422644185,26.677354319784374
NTRS,0.005065737852363909,43.91463158387341
NUE,0.006586362856488276,15.799322307676011
NVDA,0.005036728752403605,-7.939180542979072
NVR,0.3569476674702147,-273.92717646041837
NWL,0.0011083075773649779,22.161057963290578
NWS,-0.0013069620782873372,22.55248499305112
NWSA,-0.001572097270216816,24.031576507124306
NXPI,0.03267956500410921,-114.86036554093147
O,0.007455415315344639,6.25439494472064
ODFL,0.01260524274571839,-19.564770129858555
OKE,0.008805747995921997,-2.997902546958882
OMC,0.006637067888412715,28.75667432582016
ORCL,0.0052029969069095905,9.238784114529663
ORLY,0.04749713806769377,-67.52635727744695
OXY,0.010069127168537913,18.973170185348724
PAYC,0.10236613586394798,-556.4948675603605
PAYX,0.004607259597795508,24.821288148614833
PBCT,0.0015762605242935367,7.534744774195464
PCAR,0.00850759297069826,10.983162025421608
PEAK,0.002683286218864929,18.10456324365514
PEG,0.004529651393980291,17.611779237138144
PENN,0.0031096425224884407,-1.1947663233519745
PEP,0.0112740137049486,31.50814331378014
PFE,-1.1675450714765044e-05,28.161236011543952
PFG,0.0033294311748238185,28.63034382246851
PG,0.008451585751760063,34.78970182623486
PGR,0.006075779860939997,4.0990890513311555
PH,0.021489994602620893,2.6057651495411283
PHM,0.0012955547888469456,14.28568589815413
PKG,0.013333806713755374,-5.952305186265321
PKI,0.007710267193426653,7.51997366320483
PLD,0.00461090073866525,24.168034601835796
PM,0.0123788454492812,14.305050330296355
PNC,0.01081387887111383,34.985881047926846
PNR,0.0050318085260234015,9.18145548653346
PNW,0.007054220181133002,25.761896495684173
POOL,0.018671977934326275,-16.789970871710484
PPG,0.014997824075671986,1.9934973794413173
PPL,0.0021730283901516467,20.09684076143765
PRU,0.00885647657362197,33.202766088635734
PSA,0.03262725947026235,-3.059555258944042
PSX,0.020495649578642312,-40.38270766176944
PTC,0.007277179183771696,3.055588419846036
PVH,0.01863048843721825,-4.898316733123157
PWR,0.0026839753355921907,13.50483757235746
PXD,0.026084331392050734,-10.209677893581047
PYPL,0.055520326582645545,-293.43568051987734
QCOM,0.0062089501411307585,25.626289303994074
QRVO,0.012888408343867817,-14.95710965564303
RCL,0.012101549781904482,5.554563905056596
RE,0.026470243713018045,23.786795504339562
REG,0.005010441030752917,31.994816072824324
REGN,0.06797961963265173,-99.70205086251092
RF,-0.0028022375738979517,28.045626250461194
RHI,0.004958383299900803,16.97495953472687
RJF,0.006927433424074277,-0.16660681970277033
RL,0.017915280075079282,19.022536057965652
RMD,0.01337227612377003,-10.540365895171847
ROK,0.02079798633274572,3.117792201958639
ROL,0.00300435749227087,-3.615602753674875
ROP,0.0395847763305123,-41.770180884805036
ROST,0.012314290817589455,-17.16279322442746
RSG,0.008266284890090703,3.1863694136670526
RTX,0.00932982460017838,13.501080309138016
SBAC,0.024009291373571988,-25.561441910088142
SBUX,0.009618990198690442,-8.717821999376127
SCHW,0.0037966772439584247,9.095010920670473
SEE,0.003486558042243768,15.94133515146555
SHW,0.019735008530707022,-24.154070739596918
SIVB,0.02729088249102249,-17.183268427246322
SJM,0.015485596624468252,14.539637656915467
SLB,0.006540909744744456,35.79193342163292
SNA,0.022747497112445034,-6.686059432834079
SNPS,0.009782987716624844,3.054421221374889
SO,0.00441427031190883,21.452311715622574
SPG,0.025720514008985795,9.413791633785854
SPGI,0.02119942086448785,-6.21364515404992
SRE,0.01560157417843697,7.748221116226542
STE,0.012876079809426458,-2.9020486873664355
STT,0.0043553203032561895,42.46182760838325
STX,0.006628688365313375,1.7595009590098771
STZ,0.02736813177715982,-37.84910034298875
SWK,0.016483959833178078,10.517502205964904
SWKS,0.011426010381860422,-6.058103600051912
SYF,0.002581692242901144,15.165560881230306
SYK,0.019178199581803557,2.291118240401097
SYY,0.004797742275375472,19.1775496083477
T,0.00025402779565813366,32.00229702199747
TAP,0.008008421767985436,20.509717014151324
TDG,0.08449660848777887,-239.2574728113413
TDY,0.026959152061376924,-26.251094299208514
TECH,0.017644607712136468,10.873158131279874
TEL,0.016854680444256736,-31.891449369099632
TER,0.0002559440380991273,22.015122011761445
TFC,0.0014705108674464209,30.986322748915327
TFX,0.02979771127240702,-10.918357814302324
TGT,0.0066497910332089915,31.17697378755565
TJX,0.0069303507427082,-6.939605492733454
TMO,0.029909922584950042,-27.076680901158962
TMUS,0.009114402643635628,-6.563525300020732
TPR,0.00506120578176629,15.056827936297317
TRMB,0.005414151658562998,-1.39363625449146
TROW,0.012832738446098058,7.635317304492025
TRV,0.01488579862240474,15.050939451748995
TSCO,0.014329129283392422,-16.86923980783008
TSLA,0.02039885285416198,-76.96014996097428
TSN,0.008844586988016582,-3.3624619294031617
TT,0.008912973947835977,1.3772376553642245
TTWO,0.010466715006714734,-7.617363322549021
TWTR,-0.005499455398995793,65.22940116160177
TXN,0.008639804678717111,13.599991057533792
TXT,0.0031330547990185017,23.430033307372184
TYL,0.03125374527509886,-51.81818695153574
UA,-0.011006522802977776,94.17572088902695
UAA,0.005982097621155565,-11.894866227497458
UAL,0.01317971688120443,-20.785239757808803
